,Car Name,Year,Kilometers,Fuel,Location,EMI,Price
0,Mercedes-Benz M-Class ML 350 CDI,2015,"76,345 km",Diesel,Gurgaon,"EMI starts at₹44,588",26.85 Lakh
1,Maruti Suzuki Ignis Delta 1.2 AMT,2019,"38,386 km",Petrol,Gurgaon,"EMI starts at₹8,776",5.29 Lakh
2,Maruti Suzuki Swift Lxi ABS (O),2017,"18,001 km",Petrol,Delhi,"EMI starts at₹8,054",4.85 Lakh
3,Mahindra Thar LX 4-STR Convertible Diesel AT,2021,"5,000 km",Diesel,Delhi,"EMI starts at₹29,725",17.9 Lakh
4,Hyundai Eon Era +,2012,"57,718 km",Petrol,Noida,"EMI starts at₹3,653",2.2 Lakh
5,Volvo S90 D4 Inscription,2018,"89,000 km",Diesel,Faridabad,"EMI starts at₹17,021",30 Lakh
6,Hyundai Verna Fluidic 1.6 VTVT SX Opt AT,2020,"13,200 km",Petrol,Delhi,"EMI starts at₹8,137",10.25 Lakh
7,Jeep Compass Sport 1.4 Petrol,2018,"20,000 km",Petrol,Delhi,"EMI starts at₹9,880",12.5 Lakh
8,Volkswagen Polo Highline1.2L (P),2015,"90,826 km",Petrol,Faridabad,"EMI starts at₹8,635",4.9 Lakh
9,Honda City V,2015,"49,769 km",Petrol,Delhi,"EMI starts at₹6,642",5.95 Lakh
10,Hyundai Elite i20 Magna 1.2 [2016-2017],2017,"45,876 km",Petrol,Delhi,"EMI starts at₹6,559",5.2 Lakh
11,Maruti Suzuki Wagon R 1.0 VXI,2017,"48,502 km",Petrol,Faridabad,"EMI starts at₹4,234",4 Lakh
12,Honda Brio S MT,2013,"30,632 km",Petrol,Noida,"EMI starts at₹7,473",2.95 Lakh
13,Hyundai Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],2015,"55,314 km",Petrol,Delhi,"EMI starts at₹4,815",3.95 Lakh
14,Maruti Suzuki Alto 800 Lxi CNG,2013,"21,469 km",CNG,Delhi,"EMI starts at₹5,646",2.55 Lakh
15,Honda Amaze 1.2 S i-VTEC,2015,"56,000 km",Petrol,Noida,"EMI starts at₹7,888",4.5 Lakh
16,Honda Brio S MT,2014,"55,200 km",Petrol,Delhi,"EMI starts at₹4,898",2.9 Lakh
17,Hyundai Grand i10 Magna 1.2 Kappa VTVT [2013-2016],2014,"89,000 km",Petrol,Delhi,"EMI starts at₹10,213",3.4 Lakh
18,Toyota Camry W1 MT,2009,"86,000 km",Petrol,Gurgaon,"EMI starts at₹12,122",2.45 Lakh
19,Maruti Suzuki Eeco 5 STR WITH A/C+HTR CNG [2017-2019],2021,"52,360 km",CNG,Delhi,"EMI starts at₹5,563",4.75 Lakh
20,Hyundai i20 Magna 1.2,2012,"39,584 km",Petrol,Delhi,"EMI starts at₹8,884",2.95 Lakh
21,Mahindra TUV300 T8 mHAWK100 Dual Tone,2017,"74,600 km",Diesel,Gurgaon,"EMI starts at₹5,148",6.15 Lakh
22,Toyota Glanza G,2021,"49,700 km",Petrol,Gurgaon,"EMI starts at₹7,057",7.3 Lakh
23,Volkswagen Polo Highline1.2L (P),2013,"82,200 km",Petrol,Gurgaon,"EMI starts at₹4,317",3.35 Lakh
24,Maruti Suzuki Swift ZXi Plus [2018-2019],2018,"64,300 km",Petrol,Gurgaon,"EMI starts at₹8,137",5.35 Lakh
25,Maruti Suzuki Swift DZire LDI,2013,"78,304 km",Diesel,Delhi,"EMI starts at₹4,483",3.1 Lakh
26,Maruti Suzuki Swift Dzire LXI (O),2015,"55,000 km",Petrol,Noida,"EMI starts at₹8,884",4.25 Lakh
27,Maruti Suzuki Alto 800 Lxi,2017,"50,047 km",Petrol,Delhi,"EMI starts at₹64,766",2.6 Lakh
28,Ford EcoSport Titanium 1.5L Ti-VCT AT,2015,"68,000 km",Petrol,Gurgaon,"EMI starts at₹3,238",4.9 Lakh
29,Hyundai i10 Sportz 1.2 Kappa2,2013,"41,700 km",Petrol,Gurgaon,"EMI starts at₹44,838",2.7 Lakh
30,Hyundai Verna Fluidic 1.6 VTVT SX,2014,"62,224 km",Petrol,Faridabad,"EMI starts at₹28,895",5.35 Lakh
31,Mercedes-Benz M-Class ML 350 CDI,2015,"76,345 km",Diesel,Faridabad,"EMI starts at₹41,516",39 Lakh
32,Maruti Suzuki Ignis Delta 1.2 AMT,2019,"38,386 km",Petrol,Delhi,"EMI starts at₹4,168",1.95 Lakh
33,Maruti Suzuki Swift Lxi ABS (O),2017,"18,001 km",Diesel,Faridabad,EMI starts at₹5.56 L,27 Lakh
34,Mahindra Thar LX 4-STR Convertible Diesel AT,2021,"5,000 km",Petrol,Faridabad,"EMI starts at₹79,296",20 Lakh
35,Hyundai Eon Era +,2012,"57,718 km",Diesel,Faridabad,"EMI starts at₹26,554",17.4 Lakh
36,Volvo S90 D4 Inscription,2018,"89,000 km",Diesel,Faridabad,"EMI starts at₹81,372",25 Lakh
37,Hyundai Verna Fluidic 1.6 VTVT SX Opt AT,2020,"13,200 km",Petrol,Delhi,EMI starts at₹2.08 L,2.51 Lakh
38,Jeep Compass Sport 1.4 Petrol,2018,"20,000 km",Petrol,Delhi,"EMI starts at₹65,596",3.35 Crore
39,Volkswagen Polo Highline1.2L (P),2015,"90,826 km",Diesel,Delhi,EMI starts at₹2.47 L,47.75 Lakh
40,Honda City V,2015,"49,769 km",Petrol,Delhi,"EMI starts at₹17,852",15.99 Lakh
41,Hyundai Elite i20 Magna 1.2 [2016-2017],2017,"45,876 km",Petrol,Delhi,EMI starts at₹1.3 L,49 Lakh
42,Maruti Suzuki Wagon R 1.0 VXI,2017,"48,502 km",Petrol,Delhi,EMI starts at₹2.29 L,1.25 Crore
43,Honda Brio S MT,2013,"30,632 km",Petrol,Delhi,"EMI starts at₹53,971",1.68 Crore
44,Hyundai Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],2015,"55,314 km",Petrol,Delhi,"EMI starts at₹35,704",39.5 Lakh
45,Maruti Suzuki Alto 800 Lxi CNG,2013,"21,469 km",Petrol,Delhi,"EMI starts at₹49,820",48.5 Lakh
46,Honda Amaze 1.2 S i-VTEC,2015,"56,000 km",Petrol,Delhi,"EMI starts at₹64,766",1.49 Crore
47,Honda Brio S MT,2014,"55,200 km",Diesel,Delhi,"EMI starts at₹44,588",10.75 Lakh
48,Hyundai Grand i10 Magna 1.2 Kappa VTVT [2013-2016],2014,"89,000 km",Diesel,Delhi,"EMI starts at₹8,776",78 Lakh
49,Toyota Camry W1 MT,2009,"86,000 km",Diesel,Delhi,"EMI starts at₹8,054",1.38 Crore
50,Maruti Suzuki Eeco 5 STR WITH A/C+HTR CNG [2017-2019],2021,"52,360 km",Petrol,Delhi,"EMI starts at₹29,725",1.61 Crore
51,Hyundai i20 Magna 1.2,2012,"39,584 km",Diesel,Delhi,"EMI starts at₹3,653",32.5 Lakh
52,Mahindra TUV300 T8 mHAWK100 Dual Tone,2017,"74,600 km",Diesel,Delhi,"EMI starts at₹17,021",21.5 Lakh
53,Toyota Glanza G,2021,"49,700 km",Diesel,Delhi,"EMI starts at₹8,137",30 Lakh
54,Volkswagen Polo Highline1.2L (P),2013,"82,200 km",Diesel,Delhi,"EMI starts at₹9,880",39 Lakh
55,Maruti Suzuki Swift ZXi Plus [2018-2019],2018,"64,300 km",Diesel,Gurgaon,"EMI starts at₹8,635",26.85 Lakh
56,Maruti Suzuki Swift DZire LDI,2013,"78,304 km",Petrol,Gurgaon,"EMI starts at₹6,642",5.29 Lakh
57,Maruti Suzuki Swift Dzire LXI (O),2015,"55,000 km",Petrol,Delhi,"EMI starts at₹6,559",4.85 Lakh
58,Maruti Suzuki Alto 800 Lxi,2017,"50,047 km",Diesel,Delhi,"EMI starts at₹4,234",17.9 Lakh
59,Ford EcoSport Titanium 1.5L Ti-VCT AT,2015,"68,000 km",Petrol,Noida,"EMI starts at₹7,473",2.2 Lakh
60,Hyundai i10 Sportz 1.2 Kappa2,2013,"41,700 km",Diesel,Faridabad,"EMI starts at₹4,815",30 Lakh
61,Hyundai Verna Fluidic 1.6 VTVT SX,2014,"62,224 km",Petrol,Delhi,"EMI starts at₹5,646",10.25 Lakh
62,Mercedes-Benz C-Class C 220 CDI Avantgarde,2020,"65,000 km",Petrol,Delhi,"EMI starts at₹7,888",12.5 Lakh
63,Maruti Suzuki Alto K10 VXi,2012,"63,000 km",Petrol,Faridabad,"EMI starts at₹4,898",4.9 Lakh
64,BMW X1 sDrive20d M Sport,2018,"40,000 km",Petrol,Delhi,"EMI starts at₹10,213",5.95 Lakh
65,Audi A8 L 4.2 FSI quattro,2011,"76,000 km",Petrol,Delhi,"EMI starts at₹12,122",5.2 Lakh
66,Mahindra Thar LX 4-STR Convertible Diesel AT,2020,"32,467 km",Petrol,Faridabad,"EMI starts at₹5,563",4 Lakh
67,Ford Endeavour Titanium 2.2 4x2 AT,2018,"93,000 km",Petrol,Noida,"EMI starts at₹8,884",2.95 Lakh
68,Maruti Suzuki Alto K10 LXi,2014,"10,000 km",Petrol,Delhi,"EMI starts at₹5,148",3.95 Lakh
69,Mercedes-Benz Maybach GLS 600 4MATIC,2021,"15,000 km",CNG,Delhi,"EMI starts at₹7,057",2.55 Lakh
70,Mercedes-Benz S-Class S 350 CDI,2014,"15,000 km",Petrol,Noida,"EMI starts at₹4,317",4.5 Lakh
71,MG Hector Sharp 1.5 DCT Petrol [2019-2020],2019,"14,500 km",Petrol,Delhi,"EMI starts at₹8,137",2.9 Lakh
72,Mercedes-Benz E-Class Cabriolet E 400 Cabriolet,2015,"43,500 km",Petrol,Delhi,"EMI starts at₹4,483",3.4 Lakh
73,Land Rover Range Rover Sport HSE 2.0 Petrol,2021,"25,500 km",Petrol,Gurgaon,"EMI starts at₹8,884",2.45 Lakh
74,Mercedes-Benz S-Class Maybach S 600,2018,"9,800 km",CNG,Delhi,"EMI starts at₹64,766",4.75 Lakh
75,MINI Clubman Cooper S,2020,"15,000 km",Petrol,Delhi,"EMI starts at₹3,238",2.95 Lakh
76,Bentley Continental Flying Spur Sedan,2008,"18,500 km",Diesel,Gurgaon,"EMI starts at₹44,838",6.15 Lakh
77,Porsche Cayenne Coupe Base,2022,"3,000 km",Petrol,Gurgaon,"EMI starts at₹28,895",7.3 Lakh
78,Mahindra XUV500 W10 1.99,2017,"82,000 km",Petrol,Gurgaon,"EMI starts at₹41,516",3.35 Lakh
79,Mercedes-Benz E-Class E 220d Exclusive [2019-2019],2022,"16,500 km",Petrol,Gurgaon,"EMI starts at₹4,168",5.35 Lakh
80,Mercedes-Benz GLS 400d 4MATIC,2021,950 km,Diesel,Delhi,EMI starts at₹5.56 L,3.1 Lakh
81,Mercedes-Benz S-Coupe S 63 AMG [2015-2018],2016,"16,500 km",Petrol,Noida,"EMI starts at₹79,296",4.25 Lakh
82,Mercedes-Benz CLA 200 CDI Sport,2020,"32,000 km",Petrol,Delhi,"EMI starts at₹26,554",2.6 Lakh
83,BMW 3 Series GT 320d Luxury Line [2014-2016],2015,"85,000 km",Petrol,Gurgaon,"EMI starts at₹81,372",4.9 Lakh
84,Porsche Panamera 3.0 Diesel,2013,"40,000 km",Petrol,Gurgaon,EMI starts at₹2.08 L,2.7 Lakh
85,Mercedes-Benz E-Class E 220 d Avantgarde,2018,"35,000 km",Petrol,Faridabad,"EMI starts at₹65,596",5.35 Lakh
86,Mercedes-Benz M-Class ML 350 CDI,2015,"85,000 km",Diesel,Faridabad,EMI starts at₹2.47 L,39 Lakh
